alert_id,screened_name,list_entry,score,date_of_birth,country,resolution,cause
alr_000060,Kim Min Jun,Kim Min Jun,0.7936,1990-07-21,VN,false_positive,transliteracion
alr_000061,Min Jun Kim,Kim Min Jun,0.7432,1978-03-14,IN,false_positive,entidad_generica
alr_000062,Juan Perez Gonzalez,Juan Gonzalez Perez,0.8271,1978-03-14,KR,false_positive,transliteracion
alr_000063,Maria Silva Costa,Maria Silva Costa,0.8607,1990-07-21,EG,false_positive,sin_fecha_nacimiento
alr_000064,Ahmed Hassan Ali,Ahmed Hassan Ali,0.8961,1978-03-14,IN,false_positive,sin_fecha_nacimiento
alr_000065,Petrova Olga Ivanova,Olga Petrova Ivanova,0.8998,1985-11-02,CL,false_positive,apellido_frecuente
alr_000066,Rajesh Patel Kumar,Rajesh Patel Kumar,0.8748,1990-07-21,MX,false_positive,sin_fecha_nacimiento
alr_000067,Perez Gonzalez Juan,Juan Gonzalez Perez,0.7647,1985-11-02,MX,false_positive,otras
alr_000068,Ana Garcia Lopez,Ana Garcia Lopez,0.9875,,VN,false_positive,entidad_generica
alr_000069,Kim Jun Min,Kim Min Jun,0.8492,1985-11-02,CL,false_positive,otras
alr_000070,Nguyen Van Minh,Nguyen Van Minh,0.838,1985-11-02,CN,false_positive,otras
alr_000071,Ana Garcia Lopez,Ana Garcia Lopez,0.8334,1978-03-14,CN,false_positive,sin_fecha_nacimiento
alr_000072,Kim Min Jun,Kim Min Jun,0.8353,1990-07-21,KR,false_positive,apellido_frecuente
alr_000073,Olga Petrova Ivanova,Olga Petrova Ivanova,0.8707,1985-11-02,VN,false_positive,transliteracion
alr_000074,Maria Silva Costa,Maria Silva Costa,0.8331,1985-11-02,RU,false_positive,otras
alr_000075,Ana Garcia Lopez,Ana Garcia Lopez,0.8903,1990-07-21,VN,false_positive,apellido_frecuente
alr_000076,Costa Maria Silva,Maria Silva Costa,0.9314,1990-07-21,KR,false_positive,entidad_generica
alr_000077,Jun Kim Min,Kim Min Jun,0.7321,1985-11-02,RU,false_positive,transliteracion
alr_000078,Rajesh Patel Kumar,Rajesh Patel Kumar,0.7557,1990-07-21,CL,false_positive,apellido_frecuente
alr_000079,Patel Rajesh Kumar,Rajesh Patel Kumar,0.7205,1990-07-21,EG,false_positive,otras
alr_000080,Lopez Ana Garcia,Ana Garcia Lopez,0.7927,,CL,false_positive,transliteracion
alr_000081,Silva Maria Costa,Maria Silva Costa,0.8404,1990-07-21,MX,false_positive,transliteracion
alr_000082,Ana Garcia Lopez,Ana Garcia Lopez,0.8939,1985-11-02,KR,false_positive,sin_fecha_nacimiento
alr_000083,Juan Gonzalez Perez,Juan Gonzalez Perez,0.9437,,CL,false_positive,sin_fecha_nacimiento
alr_000084,Ana Garcia Lopez,Ana Garcia Lopez,0.7569,1985-11-02,CL,false_positive,sin_fecha_nacimiento
alr_000085,Petrova Ivanova Olga,Olga Petrova Ivanova,0.7037,1978-03-14,RU,false_positive,transliteracion
alr_000086,Ahmed Hassan Ali,Ahmed Hassan Ali,0.978,1985-11-02,IN,false_positive,sin_fecha_nacimiento
alr_000087,Maria Silva Costa,Maria Silva Costa,0.7376,,CN,false_positive,transliteracion
alr_000088,Carlos Mendez Rios,Carlos Mendez Rios,0.8049,1985-11-02,MX,false_positive,apellido_frecuente
alr_000089,Van Minh Nguyen,Nguyen Van Minh,0.7295,,CN,false_positive,apellido_frecuente
alr_000090,Wei Wang Chen,Wang Wei Chen,0.8538,1978-03-14,VN,false_positive,entidad_generica
alr_000091,Kim Min Jun,Kim Min Jun,0.8369,1978-03-14,CN,false_positive,sin_fecha_nacimiento
alr_000092,Maria Silva Costa,Maria Silva Costa,0.957,1978-03-14,RU,false_positive,sin_fecha_nacimiento
alr_000093,Chen Wang Wei,Wang Wei Chen,0.8273,1978-03-14,KR,false_positive,otras
alr_000094,Ana Garcia Lopez,Ana Garcia Lopez,0.8079,,VN,false_positive,sin_fecha_nacimiento
alr_000095,Kim Min Jun,Kim Min Jun,0.7492,,IN,false_positive,transliteracion
alr_000096,Maria Silva Costa,Maria Silva Costa,0.8007,,CL,false_positive,sin_fecha_nacimiento
alr_000097,Rajesh Patel Kumar,Rajesh Patel Kumar,0.8702,,IN,false_positive,entidad_generica
alr_000098,Rajesh Patel Kumar,Rajesh Patel Kumar,0.7033,,CN,false_positive,apellido_frecuente
alr_000099,Ana Garcia Lopez,Ana Garcia Lopez,0.8321,1990-07-21,CL,false_positive,apellido_frecuente
alr_000100,Ahmed Hassan Ali,Ahmed Hassan Ali,0.7974,,CL,false_positive,entidad_generica
alr_000101,Kim Min Jun,Kim Min Jun,0.8603,1985-11-02,MX,false_positive,otras
alr_000102,Kumar Rajesh Patel,Rajesh Patel Kumar,0.9705,1985-11-02,IN,false_positive,otras
alr_000103,Minh Van Nguyen,Nguyen Van Minh,0.9868,1990-07-21,EG,false_positive,entidad_generica
alr_000104,Rajesh Patel Kumar,Rajesh Patel Kumar,0.8607,,KR,false_positive,entidad_generica
alr_000105,Ahmed Hassan Ali,Ahmed Hassan Ali,0.7812,,CL,false_positive,otras
alr_000106,Olga Petrova Ivanova,Olga Petrova Ivanova,0.8498,1990-07-21,MX,false_positive,transliteracion
alr_000107,Juan Gonzalez Perez,Juan Gonzalez Perez,0.7381,,RU,false_positive,otras
alr_000108,Min Kim Jun,Kim Min Jun,0.9253,,VN,false_positive,apellido_frecuente
alr_000109,Carlos Mendez Rios,Carlos Mendez Rios,0.9983,1990-07-21,RU,false_positive,entidad_generica
alr_000110,Rajesh Patel Kumar,Rajesh Patel Kumar,0.852,1985-11-02,IN,false_positive,entidad_generica
alr_000111,Nguyen Van Minh,Nguyen Van Minh,0.8667,1978-03-14,IN,false_positive,entidad_generica
alr_000112,Patel Kumar Rajesh,Rajesh Patel Kumar,0.7897,1978-03-14,KR,false_positive,otras
alr_000113,Kim Min Jun,Kim Min Jun,0.9955,1985-11-02,EG,false_positive,transliteracion
alr_000114,Olga Petrova Ivanova,Olga Petrova Ivanova,0.8184,1978-03-14,CL,false_positive,transliteracion
alr_000115,Ahmed Ali Hassan,Ahmed Hassan Ali,0.7572,,MX,false_positive,sin_fecha_nacimiento
alr_000116,Ahmed Hassan Ali,Ahmed Hassan Ali,0.7719,1978-03-14,CL,false_positive,entidad_generica
alr_000117,Ana Garcia Lopez,Ana Garcia Lopez,0.9493,,KR,false_positive,sin_fecha_nacimiento
alr_000118,Wei Chen Wang,Wang Wei Chen,0.8237,,VN,false_positive,otras
alr_000119,Nguyen Van Minh,Nguyen Van Minh,0.8235,,CN,false_positive,apellido_frecuente
alr_000120,Lopez Ana Garcia,Ana Garcia Lopez,0.8781,1985-11-02,MX,false_positive,sin_fecha_nacimiento
alr_000121,Nguyen Van Minh,Nguyen Van Minh,0.8951,1990-07-21,RU,false_positive,apellido_frecuente
alr_000122,Wang Wei Chen,Wang Wei Chen,0.9903,,CN,false_positive,otras
alr_000123,Olga Petrova Ivanova,Olga Petrova Ivanova,0.7945,1985-11-02,CN,false_positive,otras
alr_000124,Ahmed Hassan Ali,Ahmed Hassan Ali,0.8107,1978-03-14,RU,false_positive,apellido_frecuente
alr_000125,Nguyen Van Minh,Nguyen Van Minh,0.7336,,KR,false_positive,transliteracion
alr_000126,Rajesh Patel Kumar,Rajesh Patel Kumar,0.9148,1985-11-02,RU,false_positive,transliteracion
alr_000127,Petrova Ivanova Olga,Olga Petrova Ivanova,0.9684,,RU,false_positive,apellido_frecuente
alr_000128,Juan Gonzalez Perez,Juan Gonzalez Perez,0.9765,1985-11-02,CL,false_positive,sin_fecha_nacimiento
alr_000129,Lopez Ana Garcia,Ana Garcia Lopez,0.7431,1990-07-21,EG,false_positive,apellido_frecuente
alr_000130,Rajesh Patel Kumar,Rajesh Patel Kumar,0.7821,1990-07-21,CN,false_positive,transliteracion
alr_000131,Kim Min Jun,Kim Min Jun,0.7804,,EG,false_positive,transliteracion
alr_000132,Juan Gonzalez Perez,Juan Gonzalez Perez,0.858,,CL,false_positive,apellido_frecuente
alr_000133,Rajesh Patel Kumar,Rajesh Patel Kumar,0.9766,1990-07-21,MX,false_positive,sin_fecha_nacimiento
alr_000134,Nguyen Van Minh,Nguyen Van Minh,0.8739,1978-03-14,KR,false_positive,sin_fecha_nacimiento
alr_000135,Juan Gonzalez Perez,Juan Gonzalez Perez,0.9592,,CN,false_positive,sin_fecha_nacimiento
alr_000136,Maria Silva Costa,Maria Silva Costa,0.7779,1990-07-21,EG,false_positive,transliteracion
alr_000137,Ahmed Hassan Ali,Ahmed Hassan Ali,0.9473,1990-07-21,IN,false_positive,apellido_frecuente
alr_000138,Mendez Carlos Rios,Carlos Mendez Rios,0.907,1978-03-14,IN,false_positive,apellido_frecuente
alr_000139,Ahmed Ali Hassan,Ahmed Hassan Ali,0.8227,,KR,false_positive,sin_fecha_nacimiento
alr_000140,Carlos Mendez Rios,Carlos Mendez Rios,0.8124,,EG,false_positive,sin_fecha_nacimiento
alr_000141,Maria Silva Costa,Maria Silva Costa,0.7725,1990-07-21,CL,false_positive,entidad_generica
alr_000142,Ana Garcia Lopez,Ana Garcia Lopez,0.9185,,VN,false_positive,sin_fecha_nacimiento
alr_000143,Silva Maria Costa,Maria Silva Costa,0.7903,1978-03-14,CL,false_positive,entidad_generica
alr_000144,Silva Maria Costa,Maria Silva Costa,0.9371,1985-11-02,CL,false_positive,apellido_frecuente
alr_000145,Kim Min Jun,Kim Min Jun,0.8852,1990-07-21,CL,false_positive,entidad_generica
alr_000146,Carlos Mendez Rios,Carlos Mendez Rios,0.8297,1978-03-14,VN,false_positive,sin_fecha_nacimiento
alr_000147,Rajesh Kumar Patel,Rajesh Patel Kumar,0.7871,1978-03-14,CN,false_positive,entidad_generica
alr_000148,Gonzalez Juan Perez,Juan Gonzalez Perez,0.7872,1990-07-21,VN,false_positive,apellido_frecuente
alr_000149,Maria Silva Costa,Maria Silva Costa,0.8916,1990-07-21,IN,false_positive,otras
alr_000150,Ahmed Hassan Ali,Ahmed Hassan Ali,0.8875,1990-07-21,IN,false_positive,entidad_generica
alr_000151,Jun Min Kim,Kim Min Jun,0.935,1985-11-02,RU,false_positive,entidad_generica
alr_000152,Juan Gonzalez Perez,Juan Gonzalez Perez,0.8649,1990-07-21,VN,false_positive,entidad_generica
alr_000153,Mendez Carlos Rios,Carlos Mendez Rios,0.8124,,CN,false_positive,sin_fecha_nacimiento
alr_000154,Carlos Rios Mendez,Carlos Mendez Rios,0.8955,1978-03-14,CN,false_positive,sin_fecha_nacimiento
alr_000155,Wei Chen Wang,Wang Wei Chen,0.7803,1985-11-02,CN,false_positive,sin_fecha_nacimiento
alr_000156,Costa Maria Silva,Maria Silva Costa,0.7281,1985-11-02,CN,false_positive,entidad_generica
alr_000157,Rajesh Patel Kumar,Rajesh Patel Kumar,0.7241,,IN,false_positive,transliteracion
alr_000158,Nguyen Minh Van,Nguyen Van Minh,0.8862,,RU,false_positive,apellido_frecuente
alr_000159,Minh Van Nguyen,Nguyen Van Minh,0.7753,1990-07-21,MX,false_positive,sin_fecha_nacimiento
alr_000160,Olga Petrova Ivanova,Olga Petrova Ivanova,0.9792,,RU,false_positive,entidad_generica
alr_000161,Ahmed Hassan Ali,Ahmed Hassan Ali,0.9182,,MX,false_positive,entidad_generica
alr_000162,Juan Gonzalez Perez,Juan Gonzalez Perez,0.8569,,MX,false_positive,sin_fecha_nacimiento
alr_000163,Gonzalez Juan Perez,Juan Gonzalez Perez,0.7751,1978-03-14,VN,false_positive,transliteracion
alr_000164,Maria Silva Costa,Maria Silva Costa,0.8785,1978-03-14,KR,false_positive,sin_fecha_nacimiento
alr_000165,Mendez Carlos Rios,Carlos Mendez Rios,0.7418,1990-07-21,VN,false_positive,sin_fecha_nacimiento
alr_000166,Rajesh Patel Kumar,Rajesh Patel Kumar,0.7677,,CN,false_positive,entidad_generica
alr_000167,Juan Gonzalez Perez,Juan Gonzalez Perez,0.7475,1978-03-14,EG,false_positive,apellido_frecuente
alr_000168,Nguyen Van Minh,Nguyen Van Minh,0.9739,1985-11-02,CN,false_positive,sin_fecha_nacimiento
alr_000169,Garcia Ana Lopez,Ana Garcia Lopez,0.8698,1985-11-02,CN,false_positive,otras
alr_000170,Nguyen Van Minh,Nguyen Van Minh,0.8201,1985-11-02,KR,false_positive,entidad_generica
alr_000171,Hassan Ahmed Ali,Ahmed Hassan Ali,0.8471,1978-03-14,VN,false_positive,otras
alr_000172,Wang Wei Chen,Wang Wei Chen,0.8767,1990-07-21,KR,false_positive,sin_fecha_nacimiento
alr_000173,Rios Carlos Mendez,Carlos Mendez Rios,0.895,1978-03-14,RU,false_positive,entidad_generica
alr_000174,Rajesh Patel Kumar,Rajesh Patel Kumar,0.8806,,RU,false_positive,transliteracion
alr_000175,Carlos Mendez Rios,Carlos Mendez Rios,0.7041,1985-11-02,CL,false_positive,otras
alr_000176,Rajesh Patel Kumar,Rajesh Patel Kumar,0.8377,1985-11-02,KR,false_positive,sin_fecha_nacimiento
alr_000177,Rajesh Kumar Patel,Rajesh Patel Kumar,0.8518,1978-03-14,VN,false_positive,apellido_frecuente
alr_000178,Wang Wei Chen,Wang Wei Chen,0.9137,,MX,false_positive,otras
alr_000179,Rajesh Patel Kumar,Rajesh Patel Kumar,0.9021,1990-07-21,EG,false_positive,entidad_generica
alr_000180,Carlos Mendez Rios,Carlos Mendez Rios,0.9153,1990-07-21,MX,false_positive,otras
alr_000181,Nguyen Van Minh,Nguyen Van Minh,0.8145,1990-07-21,RU,false_positive,otras
alr_000182,Juan Gonzalez Perez,Juan Gonzalez Perez,0.7336,1990-07-21,CL,false_positive,sin_fecha_nacimiento
alr_000183,Ana Garcia Lopez,Ana Garcia Lopez,0.8746,1990-07-21,MX,false_positive,sin_fecha_nacimiento
alr_000184,Hassan Ali Ahmed,Ahmed Hassan Ali,0.798,,CL,false_positive,otras
alr_000185,Olga Ivanova Petrova,Olga Petrova Ivanova,0.7872,1985-11-02,IN,false_positive,entidad_generica
alr_000186,Petrova Olga Ivanova,Olga Petrova Ivanova,0.9091,,VN,false_positive,otras
alr_000187,Gonzalez Perez Juan,Juan Gonzalez Perez,0.9191,1990-07-21,CL,false_positive,transliteracion
alr_000188,Kim Min Jun,Kim Min Jun,0.738,1978-03-14,EG,false_positive,transliteracion
alr_000189,Juan Gonzalez Perez,Juan Gonzalez Perez,0.9401,,RU,false_positive,apellido_frecuente
alr_000190,Rajesh Patel Kumar,Rajesh Patel Kumar,0.8276,1985-11-02,KR,false_positive,transliteracion
alr_000191,Ana Garcia Lopez,Ana Garcia Lopez,0.7686,1990-07-21,KR,false_positive,transliteracion
alr_000192,Ivanova Petrova Olga,Olga Petrova Ivanova,0.874,1985-11-02,CN,false_positive,apellido_frecuente
alr_000193,Maria Silva Costa,Maria Silva Costa,0.9883,1978-03-14,VN,false_positive,apellido_frecuente
alr_000194,Ana Garcia Lopez,Ana Garcia Lopez,0.9826,1978-03-14,MX,false_positive,apellido_frecuente
alr_000195,Rajesh Kumar Patel,Rajesh Patel Kumar,0.7576,1978-03-14,VN,false_positive,transliteracion
alr_000196,Wang Wei Chen,Wang Wei Chen,0.8042,1978-03-14,CL,false_positive,otras
alr_000197,Rajesh Patel Kumar,Rajesh Patel Kumar,0.9249,1985-11-02,EG,false_positive,transliteracion
alr_000198,Nguyen Van Minh,Nguyen Van Minh,0.8308,1990-07-21,EG,false_positive,apellido_frecuente
alr_000199,Chen Wang Wei,Wang Wei Chen,0.7753,1978-03-14,MX,false_positive,entidad_generica
alr_000200,Rios Mendez Carlos,Carlos Mendez Rios,0.7627,1985-11-02,MX,false_positive,apellido_frecuente
alr_000201,Ahmed Hassan Ali,Ahmed Hassan Ali,0.9873,1978-03-14,MX,false_positive,transliteracion
alr_000202,Mendez Carlos Rios,Carlos Mendez Rios,0.9963,1990-07-21,CL,false_positive,sin_fecha_nacimiento
alr_000203,Juan Gonzalez Perez,Juan Gonzalez Perez,0.9186,1985-11-02,VN,false_positive,entidad_generica
alr_000204,Jun Min Kim,Kim Min Jun,0.8949,1990-07-21,MX,false_positive,sin_fecha_nacimiento
alr_000205,Olga Petrova Ivanova,Olga Petrova Ivanova,0.8426,1990-07-21,CN,false_positive,sin_fecha_nacimiento
alr_000206,Ivanova Petrova Olga,Olga Petrova Ivanova,0.7131,1978-03-14,CN,false_positive,otras
alr_000207,Nguyen Van Minh,Nguyen Van Minh,0.8535,,CN,false_positive,entidad_generica
alr_000208,Juan Gonzalez Perez,Juan Gonzalez Perez,0.9874,,CN,false_positive,otras
alr_000209,Maria Silva Costa,Maria Silva Costa,0.8953,1985-11-02,CL,false_positive,transliteracion
alr_000210,Ahmed Hassan Ali,Ahmed Hassan Ali,0.7938,1985-11-02,VN,false_positive,sin_fecha_nacimiento
alr_000211,Juan Gonzalez Perez,Juan Gonzalez Perez,0.7967,1978-03-14,IN,false_positive,otras
alr_000212,Wang Wei Chen,Wang Wei Chen,0.9436,,RU,false_positive,transliteracion
alr_000213,Kim Min Jun,Kim Min Jun,0.7392,1985-11-02,IN,false_positive,sin_fecha_nacimiento
alr_000214,Ana Garcia Lopez,Ana Garcia Lopez,0.8364,,EG,false_positive,sin_fecha_nacimiento
alr_000215,Ana Garcia Lopez,Ana Garcia Lopez,0.7259,1990-07-21,EG,false_positive,transliteracion
alr_000216,Maria Silva Costa,Maria Silva Costa,0.8277,,EG,false_positive,entidad_generica
alr_000217,Rajesh Patel Kumar,Rajesh Patel Kumar,0.78,1985-11-02,VN,false_positive,entidad_generica
alr_000218,Nguyen Van Minh,Nguyen Van Minh,0.8292,,VN,false_positive,entidad_generica
alr_000219,Wang Wei Chen,Wang Wei Chen,0.7419,1985-11-02,CN,false_positive,transliteracion
alr_000220,Kim Jun Min,Kim Min Jun,0.9488,1978-03-14,VN,false_positive,sin_fecha_nacimiento
alr_000221,Ahmed Ali Hassan,Ahmed Hassan Ali,0.7569,1990-07-21,IN,false_positive,entidad_generica
alr_000222,Ali Hassan Ahmed,Ahmed Hassan Ali,0.9097,1990-07-21,CL,false_positive,otras
alr_000223,Ana Garcia Lopez,Ana Garcia Lopez,0.8324,1985-11-02,RU,false_positive,otras
alr_000224,Wang Wei Chen,Wang Wei Chen,0.801,1985-11-02,KR,false_positive,entidad_generica
alr_000225,Olga Petrova Ivanova,Olga Petrova Ivanova,0.8233,,IN,false_positive,apellido_frecuente
alr_000226,Juan Gonzalez Perez,Juan Gonzalez Perez,0.8327,1985-11-02,CN,false_positive,otras
alr_000227,Maria Silva Costa,Maria Silva Costa,0.8737,1978-03-14,CN,false_positive,otras
alr_000228,Ana Lopez Garcia,Ana Garcia Lopez,0.762,1978-03-14,MX,false_positive,otras
alr_000229,Perez Gonzalez Juan,Juan Gonzalez Perez,0.7012,,MX,false_positive,apellido_frecuente
alr_000230,Nguyen Van Minh,Nguyen Van Minh,0.7564,1990-07-21,MX,false_positive,transliteracion
alr_000231,Maria Silva Costa,Maria Silva Costa,0.7616,,RU,false_positive,entidad_generica
alr_000232,Nguyen Van Minh,Nguyen Van Minh,0.7141,1978-03-14,IN,false_positive,transliteracion
alr_000233,Kim Min Jun,Kim Min Jun,0.7588,1985-11-02,KR,false_positive,transliteracion
alr_000234,Olga Petrova Ivanova,Olga Petrova Ivanova,0.9549,1978-03-14,CN,false_positive,transliteracion
alr_000235,Kim Min Jun,Kim Min Jun,0.9241,1990-07-21,MX,false_positive,apellido_frecuente
alr_000236,Ana Garcia Lopez,Ana Garcia Lopez,0.8394,1990-07-21,RU,false_positive,apellido_frecuente
alr_000237,Rajesh Patel Kumar,Rajesh Patel Kumar,0.8649,1990-07-21,CN,false_positive,otras
alr_000238,Nguyen Van Minh,Nguyen Van Minh,0.7518,1978-03-14,IN,false_positive,apellido_frecuente
alr_000239,Chen Wei Wang,Wang Wei Chen,0.8994,,CN,false_positive,entidad_generica
alr_000240,Rajesh Patel Kumar,Rajesh Patel Kumar,0.9762,1985-11-02,IN,false_positive,transliteracion
alr_000241,Rajesh Patel Kumar,Rajesh Patel Kumar,0.807,,EG,false_positive,transliteracion
alr_000242,Juan Gonzalez Perez,Juan Gonzalez Perez,0.7851,1985-11-02,EG,false_positive,entidad_generica
alr_000243,Jun Kim Min,Kim Min Jun,0.8625,1978-03-14,CL,false_positive,transliteracion
alr_000244,Nguyen Van Minh,Nguyen Van Minh,0.9757,1978-03-14,IN,false_positive,entidad_generica
alr_000245,Maria Silva Costa,Maria Silva Costa,0.7184,1990-07-21,RU,false_positive,transliteracion
alr_000246,Wang Wei Chen,Wang Wei Chen,0.7423,1978-03-14,CN,false_positive,otras
alr_000247,Wang Wei Chen,Wang Wei Chen,0.838,1990-07-21,IN,false_positive,entidad_generica
alr_000248,Juan Gonzalez Perez,Juan Gonzalez Perez,0.7317,1990-07-21,MX,false_positive,otras
alr_000249,Mendez Rios Carlos,Carlos Mendez Rios,0.7995,1990-07-21,CL,false_positive,transliteracion
alr_000250,Olga Petrova Ivanova,Olga Petrova Ivanova,0.8784,1990-07-21,CL,false_positive,transliteracion
alr_000251,Maria Silva Costa,Maria Silva Costa,0.7309,,RU,false_positive,sin_fecha_nacimiento
